company,location,industry,total_laid_off,date,stage,state
Cypress.io,Atlanta,Product,56,18/01/23,Series B,GA
Lucid Diagnostics,New York City,Healthcare,148,18/01/23,Post-IPO,NY
Mavenir,Dallas,Infrastructure,280,18/01/23,Acquired,TX
Unity,SF Bay Area,Other,284,17/01/23,Post-IPO,CA
American Robotics,Boston,Other,50,17/01/23,Acquired,MA
Luxury Presence,Los Angeles,Real Estate,44,17/01/23,Series B,CA
RingCentral,SF Bay Area,Other,30,17/01/23,Post-IPO,CA
LiveVox,SF Bay Area,Support,125,17/01/23,Post-IPO,CA
Oracle,SF Bay Area,Other,403,17/01/23,Post-IPO,CA
RateGenius,Austin,Finance,144,17/01/23,Acquired,TX
Snappy,New York City,Marketing,100,15/01/23,Series C,NY
Bonterra ,Austin,Other,140,13/01/23,Unknown,TX
Vial,SF Bay Area,Healthcare,40,13/01/23,Series B,CA
Carvana,Phoenix,Transportation,358,13/01/23,Post-IPO,AZ
CoSchedule,Bismarck,Marketing,83,13/01/23,Unknown,ND
GoCanvas,Washington D.C.,Other,403,13/01/23,Acquired,VA
Jellyfish,Boston,Product,56,13/01/23,Series C,MA
Lending Club,SF Bay Area,Finance,225,12/01/23,Post-IPO,CA
Greenlight,Atlanta,Finance,104,12/01/23,Series D,GA
Mapbox,Washington D.C.,Data,64,12/01/23,Unknown,VA
Definitive Healthcare,Boston,Healthcare,55,12/01/23,Post-IPO,MA
Akili Labs,Baltimore,Healthcare,46,12/01/23,Seed,MD
Career Karma,SF Bay Area,Education,22,12/01/23,Series B,CA
Lattice,SF Bay Area,HR,146,12/01/23,Series F,CA
Life360,SF Bay Area,Consumer,788,12/01/23,Post-IPO,CA
Rock Content,Miami,Marketing,83,12/01/23,Series B,FL
Flexport,SF Bay Area,Logistics,640,11/01/23,Series E,CA
Qualtrics,Salt Lake City,Other,270,11/01/23,Post-IPO,UT
Tipalti,SF Bay Area,Finance,123,11/01/23,Series F,CA
Jumio,SF Bay Area,Security,100,11/01/23,Private Equity,CA
HashiCorp,SF Bay Area,Security,69,11/01/23,Post-IPO,CA
Embark,Boston,Healthcare,41,11/01/23,Series B,MA
Intrinsic,SF Bay Area,Other,40,11/01/23,Acquired,CA
Citizen,New York City,Consumer,33,11/01/23,Series C,NY
Carta,SF Bay Area,HR,146,11/01/23,Series G,CA
Limeade,Seattle,HR,146,11/01/23,Series C,WA
Oyster,Charlotte,HR,146,11/01/23,Series C,NC
Coinbase,SF Bay Area,Crypto,950,10/01/23,Post-IPO,CA
Informatica,SF Bay Area,Data,450,10/01/23,Post-IPO,CA
Blend,SF Bay Area,Finance,340,10/01/23,Post-IPO,CA
ConsenSys,New York City,Crypto,100,10/01/23,Series D,NY
ForeScout,SF Bay Area,Security,100,10/01/23,Post-IPO,CA
Parler,Nashville,Consumer,60,10/01/23,Series B,TN
100 Thieves,Los Angeles,Retail,603,10/01/23,Series C,CA
Cart.com,Austin,Retail,603,10/01/23,Unknown,TX
Citrix,Miami,Infrastructure,280,10/01/23,Acquired,FL
Esper,Seattle,Other,403,10/01/23,Series A,WA
WHOOP,Boston,Fitness,473,10/01/23,Series F,MA
Fate Therapeutics,San Diego,Healthcare,315,09/01/23,Post-IPO,CA
Century Therapeutics,Philadelphia,Healthcare,148,09/01/23,Post-IPO,PA
Editas Medicine,Boston,Healthcare,148,09/01/23,Post-IPO,MA
Scale AI,SF Bay Area,Data,119,09/01/23,Series E,CA
WalkMe,SF Bay Area,Other,43,08/01/23,Post-IPO,CA
Integrate,Phoenix,Marketing,83,07/01/23,Acquired,AZ
Carbon Health,SF Bay Area,Healthcare,200,06/01/23,Series D,CA
Aware,Columbus,Security,121,06/01/23,Series C,OH
CareerArc,Los Angeles,HR,146,06/01/23,Private Equity,CA
CreateMe,SF Bay Area,Manufacturing,64,06/01/23,Unknown,CA
Lantern,Grand Rapids,Retail,603,06/01/23,Seed,MI
Mojo Vision,SF Bay Area,Hardware,1460,06/01/23,Series B,CA
Cue,San Diego,Healthcare,388,05/01/23,Post-IPO,CA
SoundHound,SF Bay Area,Other,200,05/01/23,Post-IPO,CA
Socure,Reno,Finance,104,05/01/23,Series E,NV
Genesis,New York City,Crypto,60,05/01/23,Series A,NY
Twitter,SF Bay Area,Consumer,40,05/01/23,Post-IPO,CA
Everlane,SF Bay Area,Retail,30,05/01/23,Unknown,CA
Personetics,New York City,Support,30,05/01/23,Private Equity,NY
Attentive,New York City,Marketing,83,05/01/23,Series E,NY
Compass,New York City,Real Estate,260,05/01/23,Post-IPO,NY
Stitch Fix,SF Bay Area,Retail,603,05/01/23,Post-IPO,CA
TCR2,Boston,Healthcare,148,05/01/23,Post-IPO,MA
Amazon,Seattle,Retail,8000,04/01/23,Post-IPO,WA
Salesforce,SF Bay Area,Sales,8000,04/01/23,Post-IPO,CA
Astronomer,Cincinnati,Data,76,04/01/23,Series C,OH
Kaltura,New York City,Media,75,04/01/23,Post-IPO,NY
Augury,New York City,Manufacturing,20,04/01/23,Series E,NY
Butterfly Network,Boston,Healthcare,148,04/01/23,Post-IPO,MA
Vimeo,New York City,Consumer,788,04/01/23,Post-IPO,NY
Wyre,SF Bay Area,Crypto,176,04/01/23,Unknown,CA
Pegasystems,Boston,HR,245,03/01/23,Post-IPO,MA
Uniphore,SF Bay Area,Support,76,03/01/23,Series E,CA
Amdocs,St. Louis,Support,700,02/01/23,Post-IPO,MO
Qualcomm,San Diego,Hardware,153,22/12/22,Post-IPO,CA
TuSimple,San Diego,Transportation,350,21/12/22,Post-IPO,CA
Homebot,Denver,Real Estate,18,19/12/22,Acquired,CO
Health IQ,SF Bay Area,Healthcare,148,19/12/22,Series D,CA
Autograph,Los Angeles,Crypto,176,16/12/22,Series B,CA
Modern Treasury,SF Bay Area,Finance,144,16/12/22,Series C,CA
SonderMind,Denver,Healthcare,148,16/12/22,Series C,CO
BigCommerce,Austin,Retail,180,15/12/22,Post-IPO,TX
Freshworks,SF Bay Area,Support,90,15/12/22,Post-IPO,CA
LeafLink,New York City,Other,80,15/12/22,Series C,NY
Apollo,SF Bay Area,Product,56,15/12/22,Series D,CA
Quanergy Systems,SF Bay Area,Transportation,72,14/12/22,Post-IPO,CA
Headspace,Los Angeles,Healthcare,50,14/12/22,Unknown,CA
ChowNow,Los Angeles,Food,40,14/12/22,Series C,CA
Landing,Birmingham,Real Estate,260,14/12/22,Series C,AL
Thumbtack,SF Bay Area,Consumer,160,13/12/22,Series I,CA
Edgio,Phoenix,Infrastructure,95,13/12/22,Post-IPO,AZ
Komodo Health,SF Bay Area,Healthcare,78,13/12/22,Series E,CA
Viant,Los Angeles,Marketing,46,13/12/22,Post-IPO,CA
TaxBit,Salt Lake City,Crypto,176,13/12/22,Series B,UT
Pluralsight,Salt Lake City,Education,400,12/12/22,Acquired,UT
Freshly,Phoenix,Food,329,12/12/22,Acquired,AZ
Balto,St. Louis,Sales,35,12/12/22,Series B,MO
Caribou,Washington D.C.,Finance,144,12/12/22,Series C,VA
Outschool,SF Bay Area,Education,43,10/12/22,Series D,CA
Autobooks,Detroit,Finance,144,10/12/22,Series C,MI
Convene,New York City,Real Estate,260,10/12/22,Unknown,NY
C2FO,Kansas City,Finance,20,09/12/22,Series H,MO
N-able Technologies,Raleigh,Other,403,09/12/22,Post-IPO,NC
ZenLedger,Seattle,Crypto,176,09/12/22,Series B,WA
Airtable,SF Bay Area,Product,254,08/12/22,Series F,CA
BlackLine,Los Angeles,Finance,95,08/12/22,Private Equity,CA
TechTarget,Boston,Marketing,60,08/12/22,Post-IPO,MA
Inscripta,Boulder,Healthcare,43,08/12/22,Series E,CO
CyCognito,SF Bay Area,Security,30,08/12/22,Series C,CA
Armis,SF Bay Area,Security,25,08/12/22,Private Equity,CA
Bakkt,Atlanta,Crypto,176,08/12/22,Post-IPO,GA
Blue Apron,New York City,Food,259,08/12/22,Post-IPO,NY
FireHydrant,New York City,Infrastructure,280,08/12/22,Series B,NY
Lenovo,Raleigh,Hardware,1460,08/12/22,Post-IPO,NC
Nerdy,St. Louis,Education,69,08/12/22,Post-IPO,MO
Vanta,SF Bay Area,Security,121,08/12/22,Series B,CA
Plaid,SF Bay Area,Finance,260,07/12/22,Series D,CA
Motive,SF Bay Area,Transportation,237,07/12/22,Series F,CA
Recur Forever,Miami,Crypto,235,07/12/22,Series A,FL
Relativity,Chicago,Legal,150,07/12/22,Private Equity,IL
Integral Ad Science,New York City,Marketing,120,07/12/22,Acquired,NY
Houzz,SF Bay Area,Consumer,95,07/12/22,Series E,CA
Lev,New York City,Real Estate,30,07/12/22,Series B,NY
Lithic,New York City,Finance,27,07/12/22,Series C,NY
CircleCI,SF Bay Area,Product,56,07/12/22,Series F,CA
Zywave,Milwaukee,Finance,144,07/12/22,Acquired,WI
Doma,SF Bay Area,Finance,515,06/12/22,Post-IPO,CA
Intel,SF Bay Area,Hardware,201,06/12/22,Post-IPO,CA
BuzzFeed,New York City,Media,180,06/12/22,Post-IPO,NY
Weedmaps,Los Angeles,Other,175,06/12/22,Acquired,CA
